5=0.39196197061365595,6=0.15773552290406204,7=0.09709017574186098,12=0.06741573033707857,1=0.03831748775568995,9=0.03716508210890229,0=0.037021031403053836,11=0.032843560933448535,10=0.03010659752232782,2=0.029674445404782448,8=0.027081532699510188,4=0.02679343128781327,3=0.026793431287813266,
10=0.6116930108550752,2=0.0770646860915381,5=0.05059353773884344,11=0.04691169935885228,6=0.044943820224719114,8=0.040436742207833457,7=0.02374150955373579,4=0.022979749888910043,0=0.01758395226306099,9=0.01688567257030405,1=0.015743033073065432,3=0.01574303307306543,12=0.015679553100996613,
5=0.21980337078651685,6=0.16292134831460675,3=0.1385182584269663,7=0.11569522471910113,12=0.053195224719101125,0=0.04915730337078652,9=0.04845505617977528,1=0.04231039325842697,11=0.03634129213483146,2=0.03546348314606742,10=0.033707865168539325,8=0.0331811797752809,4=0.03125,
3=0.28749063670411984,8=0.1674906367041199,6=0.1460674157303371,4=0.06367041198501872,7=0.05767790262172287,0=0.04314606741573036,9=0.04269662921348319,1=0.038501872659176054,12=0.03490636704119852,11=0.034307116104868925,10=0.029363295880149822,5=0.027865168539325847,2=0.026816479400749063,
6=0.24616956077630228,7=0.11567926455566907,12=0.0878447395301328,9=0.0748212461695608,0=0.06716036772216556,1=0.06384065372829426,11=0.060520939734422935,5=0.04902962206332993,10=0.04851889683350358,8=0.04800817160367723,3=0.04673135852911132,2=0.045965270684371784,4=0.04570990806945861,
6=0.2103987662480719,1=0.14827054417272512,7=0.13989865609164998,2=0.06102665785415282,5=0.05684071381361526,0=0.05551883674818236,9=0.055078211059704715,10=0.05441727252698825,12=0.049570389953734244,11=0.04736726151134604,8=0.04163912756113677,3=0.040096937651465034,4=0.03987662480722622,
6=0.18110836031232141,8=0.1744429632450962,3=0.1654922871833936,7=0.0748428870691296,12=0.06303561226433052,0=0.054084936202628005,9=0.05370405637021512,1=0.04570557988954479,11=0.045134260140925475,4=0.037135783660255134,5=0.035993144163016515,10=0.0354218244143972,2=0.03389830508474571,
5=0.2475718910683679,6=0.20891258807846125,7=0.09217291944391534,12=0.0733193677394781,9=0.051418777375737884,0=0.05065701771091213,1=0.04760997905160915,11=0.04570557988954479,10=0.03904018282231951,8=0.03827842315749376,2=0.036945343744048696,3=0.03427918491715858,4=0.03408874500095215,
8=0.21300502032034446,6=0.12383456849151331,7=0.11307673918240502,9=0.07052354769304325,0=0.06526416447525697,1=0.06430791298111403,11=0.06072196987807793,3=0.05450633516614871,12=0.05331102079846998,4=0.047573511833612206,10=0.04757351183361219,5=0.043748505857040335,2=0.04255319148936164,
7=0.20955056179775283,6=0.14578651685393265,9=0.07724719101123592,0=0.07162921348314606,1=0.06601123595505616,11=0.06151685393258424,12=0.06095505617977525,8=0.053089887640449376,10=0.052528089887640385,5=0.05168539325842688,2=0.04999999999999991,3=0.04999999999999991,4=0.04999999999999991,
3=0.18016952493593516,8=0.14094224324857077,11=0.09599842302385182,6=0.08969051843090872,7=0.08456534594914251,0=0.07983441750443525,9=0.07313226887443325,1=0.06150206978119458,12=0.04592943031736651,4=0.04119850187265924,10=0.036270451409422505,5=0.03548196333530462,2=0.03528484131677515,
6=0.1363920099875157,0=0.10174781523096117,9=0.09519350811485634,1=0.08895131086142312,11=0.08739076154806481,7=0.08302122347066157,12=0.06679151061173524,8=0.058052434456928745,10=0.057428214731585416,4=0.05680399500624209,3=0.056803995006242086,2=0.05586766541822711,5=0.05555555555555545,
9=0.1384831460674157,1=0.13764044943820228,6=0.12247191011235956,0=0.08061797752808984,11=0.0724719101123595,12=0.07078651685393252,7=0.06938202247191007,8=0.05252808988764037,10=0.05196629213483139,2=0.0514044943820224,4=0.050842696629213396,5=0.050842696629213396,3=0.05056179775280891,
8=0.2179775280898873,6=0.10736579275905106,0=0.08314606741573025,1=0.07815230961298372,9=0.07640449438202238,7=0.0694132334581772,11=0.06516853932584266,12=0.05867665418227212,3=0.05543071161048684,4=0.05118601747815227,10=0.04594257178526836,2=0.04569288389513102,5=0.045443196004993705,
